gvkeyFR,gvkey,year1,yearN
001000,001000,1961,1977
001002,001002,1960,1972
001010,001010,1950,2003
001013,001013,1973,2010
001016,001016,1973,1987
001019,001019,1970,2020
001020,001020,1962,1989
001021,001021,1979,2008
001025,001025,1973,1996
001031,001031,1960,1976
001035,001036,1978,2000
001036,001036,1978,2000
001040,001040,1950,1984
001041,001041,1960,1972
001043,001043,1950,1999
001045,001045,1950,2020
001048,001048,1973,2006
001049,001049,1972,1982
001050,001050,1974,2020
001051,001051,1960,1968
001056,001056,1973,2006
001057,015277,1988,1994
001058,001058,1959,1992
001061,001061,1973,1980
001067,020899,1982,1992
001071,001071,1965,1969
001072,001072,1973,2019
001075,001075,1951,2020
001078,001078,1950,2020
001079,001079,1960,1975
001081,001081,1960,2006
001084,001084,1973,2020
001091,001091,1977,1987
001093,001093,1966,1985
001094,001094,1962,2018
001098,001098,1968,1995
001099,001099,1959,2000
001101,001101,1973,1979
001103,001103,1960,1988
001104,001104,1968,2020
001107,001107,1976,2002
001110,001110,1968,1976
001112,001112,1979,1988
001113,010186,1973,1994
001114,001408,1950,2011
001114,027575,2012,2020
001115,008546,1973,2020
001117,001117,1973,2020
001120,001120,1950,1987
001126,001126,1973,1989
001133,001133,1950,1972
001139,001139,1973,1981
001140,001140,1981,1986
001146,001146,1971,1980
001147,001147,1974,1987
001148,001148,1980,2000
001151,001151,1983,1996
001152,001152,1960,1972
001153,001153,1960,1981
001155,001155,1973,1992
001156,001156,1967,1975
001157,001157,1950,1971
001158,001158,1964,1969
001159,001159,1960,1985
001160,001160,1967,1968
001161,001161,1972,2020
001164,001164,1974,2004
001166,001166,1981,2020
001169,001169,1980,1987
001173,001173,1973,2013
001174,001174,1960,1979
001175,020900,1989,2000
001176,001176,1976,1979
001177,007241,1950,2020
001180,001180,1966,1983
001189,001189,1961,1999
001190,001190,1973,1994
001192,001192,1950,1978
001196,001196,1967,1975
001207,001207,1962,1973
001209,001209,1950,2020
001215,001215,1950,1977
001218,001218,1960,1975
001219,001219,1963,1973
001221,001221,1950,1981
001225,001225,1964,2020
001228,001228,1980,2016
001235,001235,1961,1998
001236,014084,1986,2020
001237,001237,1959,1971
001239,001239,1955,2010
001243,019565,1989,2020
001244,001244,1983,2003
001246,009135,1981,2020
001247,001247,1963,1980
001250,001250,1973,1996
001252,001252,1966,1975
001254,001254,1962,2020
001254A,001254,1962,2010
001254A,011756,2011,2020
001259,001259,1983,2012
001260,001260,1982,1998
001263,001263,1960,2020
001264,001264,1973,1991
001266,001266,1961,2020
001278,013708,1986,1995
001278,010405,1996,2003
001278,027980,2004,2015
001278,007875,2016,2020
001279,001279,1951,2010
001281,001281,1950,2002
001282,001282,1960,1972
001283,001283,1961,2004
001291,001291,1960,1973
001292,001292,1973,1988
001295,001295,1950,1973
001300,001300,1950,2020
001302,014152,1987,1996
001303,001303,1973,1979
001305,001305,1960,1976
001306,001306,1971,1986
001308,001308,1950,2010
001309,001309,1960,1970
001311,001311,1981,1994
001312,001312,1973,1986
001313,001313,1959,1969
001314,001314,1962,1981
001318,002136,1984,2020
001324,001324,1974,2002
001326,001326,1975,1981
001327,001327,1965,2020
001328,001328,1979,1996
001329,001329,1974,1981
001330,001330,1972,1980
001331,001331,1973,2012
001332,001332,1973,1999
001334,001334,1980,2000
001339,001339,1974,1979
001343,001343,1959,1982
001344,001344,1965,1983
001349,001349,1970,1980
001351,001351,1983,1997
001356,028192,2012,2020
001357,001357,1974,1986
001358,001358,1962,1973
001359,001359,1974,2000
001360,001360,1974,2006
001362,012578,1985,2020
001365,011993,1985,1998
001365,008536,1999,2006
001365,014590,2007,2020
001366,001366,1950,1977
001369,001369,1980,1989
001372,001372,1962,2003
001373,001373,1962,1975
001375,001375,1950,1983
001378,001378,1973,1996
001379,001379,1957,1983
001380,001380,1969,2020
001384,001384,1973,1986
001387,001387,1959,1977
001391,001391,1950,1978
001392,001392,1976,1996
001393,001393,1979,2020
001394,001394,1950,1985
001395,001395,1950,1969
001409,001409,1950,1984
001414,001414,1950,2020
001415,001416,1984,1994
001420,001420,1950,1975
001425,001425,1950,1977
001429,001429,1972,2013
001430,001478,1950,2008
001430,008530,2009,2020
001436,001436,1966,1968
001440,001440,1951,2020
001447,001447,1960,2020
001456,001456,1972,1996
001460,001460,1960,1969
001468,001468,1950,2013
001475,001475,1959,1994
001478,008530,1950,2020
001481,001481,1950,1984
001485,009899,1984,2020
001486,001486,1960,1972
001487,001487,1972,2020
001492,001492,1972,1975
001496,001496,1964,2013
001497,003730,1965,1992
001498,001498,1963,1994
001512,001512,1969,1980
001514,001514,1975,1989
001516,001516,1963,1984
001517,001517,1950,1986
001530,001530,1965,2003
001531,001531,1973,1986
001533,001533,1973,2013
001535,001535,1976,1981
001541,001541,1973,1979
001542,001542,1962,1999
001543,001543,1983,1996
001549,001549,1976,1981
001552,001552,1960,1977
001555,001555,1950,1981
001556,001556,1963,1986
001560,001560,1950,1993
001564,001564,1979,1990
001565,001565,1972,1979
001567,001567,1950,2007
001571,001571,1960,1983
001577,001072,1973,2019
001581,009899,1984,2020
001585,001585,1974,2020
001587,179437,2005,2020
001593,001593,1965,2010
001598,001598,1950,2020
001602,001602,1982,2020
001604,001604,1973,1981
001606,001606,1983,2005
001608,001608,1950,1998
001610,001610,1975,1985
001612,001612,1960,1969
001613,001613,1960,2020
001614,025554,1991,2007
001616,001616,1979,1985
001618,001618,1961,2020
001620,001620,1950,1994
001623,001623,1950,1988
001625,001625,1966,1976
001627,001627,1970,2004
001629,011923,1985,2018
001629,008068,2019,2020
001630,001630,1961,1985
001632,001632,1967,2020
001633,001633,1972,2017
001634,001634,1973,2012
001635,001635,1973,2013
001637,001637,1961,1973
001638,007875,1972,2003
001638,018025,2013,2014
001642,001642,1973,2003
001643,008852,1950,2000
001644,001644,1960,1968
001645,001645,1973,1985
001647,001647,1969,1988
001649,001649,1978,1988
001650,001650,1960,2020
001652,001652,1979,1995
001655,001655,1959,2008
001659,001659,1983,2020
001662,001662,1984,1985
001663,241637,2007,2020
001666,001666,1954,1978
001667,001667,1980,1991
001670,001670,1952,1970
001671,001671,1959,1977
001674,001674,1976,1985
001677,027980,1992,2015
001677,007875,2016,2020
001678,001678,1960,2020
001686,001686,1973,2020
001688,001688,1973,1980
001690,001690,1979,2020
001692,005606,1950,2020
001693,008488,1950,2007
001693,118577,2008,2012
001693,010530,2014,2020
001694,001694,1980,1985
001697,001697,1975,1981
001700,001700,1965,1984
001701,007648,1950,2020
001702,001702,1982,1984
001704,001704,1971,2020
001705,001705,1980,2009
001706,001706,1973,2020
001707,001707,1978,1991
001709,001709,1960,1969
001718,001718,1981,2020
001719,001719,1981,1985
001722,001722,1950,2020
001726,001726,1977,1984
001734,001734,1977,1986
001737,001737,1962,1970
001742,001742,1966,2020
001745,001745,1964,2020
001746,001746,1958,1997
001747,001747,1973,1980
001752,001752,1969,1975
001754,001754,1959,1998
001755,001755,1950,1998
001758,001758,1975,1981
001759,001759,1967,1971
001761,001761,1950,1987
001762,175689,2004,2020
001763,001763,1974,1984
001767,001767,1959,1984
001768,001768,1973,1979
001773,001773,1960,2020
001776,001776,1972,1980
001777,001777,1965,1981
001779,001779,1982,1993
001781,001781,1960,1999
001783,001783,1971,2020
001784,001784,1960,1986
001786,001786,1950,1999
001789,001789,1950,1998
001790,001790,1960,2020
001791,001791,1974,1980
001794,001794,1950,2020
001812,001812,1960,1973
001817,001817,1974,1992
001820,001820,1980,2020
001823,001823,1974,2020
001824,001824,1973,1999
001827,001827,1960,1981
001830,001830,1974,1982
001832,001832,1974,1999
001837,001837,1957,2020
001848,002410,1950,2020
001850,001850,1962,1978
001854,001854,1950,1970
001856,001856,1962,2003
001860,001860,1970,2016
001865,001865,1969,1995
001866,001866,1982,2005
001869,001869,1974,1982
001870,001870,1960,1970
001872,001872,1979,1987
001877,001877,1979,1998
001878,001878,1984,2020
001880,001880,1961,1978
001884,001884,1973,2009
001890,001890,1960,1969
001891,001891,1961,2020
001893,001893,1970,1984
001896,009191,1977,2003
001896,019349,2005,2007
001898,001898,1973,1980
001899,001899,1981,1987
001900,001900,1971,1992
001902,001902,1981,2007
001905,001905,1978,1990
001908,010519,1950,2020
001913,001913,1959,2020
001916,001916,1959,1970
