gvkey_primary,gvkey_secondary,year,source,type
001581,007840,1950,6-character CUSIP - Manual,Subsidiary Listing
001581,008287,1950,6-character CUSIP - Manual,Subsidiary Listing
028590,008617,1950,6-character CUSIP - Manual,Subsidiary Listing
008455,145348,1951,6-character CUSIP - Manual,Subsidiary Listing
011436,011434,1957,6-character CUSIP - Manual,Subsidiary Listing
011436,015401,1957,6-character CUSIP - Manual,Subsidiary Listing
013153,009861,1960,6-character CUSIP - Manual,Subsidiary Listing
001581,013153,1960,6-character CUSIP - Manual,Subsidiary Listing
001581,008275,1962,6-character CUSIP - Manual,Subsidiary Listing
001581,007996,1963,6-character CUSIP - Manual,Subsidiary Listing
001440,002862,1964,6-character CUSIP - Manual,Unknown
001581,001085,1970,6-character CUSIP - Manual,Subsidiary Listing
004961,005102,1973,6-character CUSIP - Manual,Subsidiary Listing
004961,005090,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005091,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005092,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005093,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005094,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005095,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005096,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005097,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005098,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005099,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005100,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005103,1974,6-character CUSIP - Manual,Subsidiary Listing
004961,005101,1975,6-character CUSIP - Manual,Subsidiary Listing
001581,005915,1975,6-character CUSIP - Manual,Subsidiary Listing
001581,008097,1975,6-character CUSIP - Manual,Subsidiary Listing
001581,009844,1975,6-character CUSIP - Manual,Subsidiary Listing
001581,009900,1975,6-character CUSIP - Manual,Subsidiary Listing
001581,011548,1975,6-character CUSIP - Manual,Subsidiary Listing
004002,004003,1977,6-character CUSIP - Manual,Unknown
001581,007317,1977,6-character CUSIP - Manual,Subsidiary Listing
001581,009830,1977,6-character CUSIP - Manual,Subsidiary Listing
004961,004968,1979,6-character CUSIP - Manual,Subsidiary Listing
007869,007870,1979,6-character CUSIP - Manual,Relisting
012457,007709,1981,6-character CUSIP - Manual,Relisting
014314,008472,1981,6-character CUSIP - Manual,Relisting
013856,003446,1982,6-character CUSIP - Manual,Unknown
013290,011392,1982,6-character CUSIP - Manual,Relisting
002805,002806,1983,6-character CUSIP - Manual,Unknown
001485,005915,1984,6-character CUSIP - Manual,Subsidiary Listing
001485,007317,1984,6-character CUSIP - Manual,Subsidiary Listing
008044,007840,1984,6-character CUSIP - Manual,Relisting
014274,007996,1984,6-character CUSIP - Manual,Subsidiary Listing
001485,008097,1984,6-character CUSIP - Manual,Subsidiary Listing
061489,008275,1984,6-character CUSIP - Manual,Subsidiary Listing
008286,008287,1984,6-character CUSIP - Manual,Subsidiary Listing
002146,009830,1984,6-character CUSIP - Manual,Subsidiary Listing
002146,009844,1984,6-character CUSIP - Manual,Subsidiary Listing
009900,009900,1984,6-character CUSIP - Manual,Subsidiary Spin-Off
001485,011548,1984,6-character CUSIP - Manual,Subsidiary Listing
013153,013153,1984,6-character CUSIP - Manual,Subsidiary Spin-Off
061489,014274,1984,6-character CUSIP - Manual,Subsidiary Listing
014519,006883,1985,6-character CUSIP - Manual,Relisting
012923,004516,1986,6-character CUSIP - Manual,Unknown
009899,009900,1987,6-character CUSIP - Manual,Relisting
014638,013606,1988,6-character CUSIP - Manual,Merger or Acquisition
005073,017197,1988,6-character CUSIP - Manual,Unknown
031475,013879,1989,6-character CUSIP - Manual,Unknown
028590,028591,1989,6-character CUSIP - Manual,Subsidiary Listing
005134,066013,1992,6-character CUSIP - Manual,Subsidiary Listing
014628,125754,1992,6-character CUSIP - Manual,Merger or Acquisition
009043,121573,1993,6-character CUSIP - Manual,Subsidiary Listing
008044,060821,1994,6-character CUSIP - Manual,Subsidiary Listing
028590,061807,1994,6-character CUSIP - Manual,Subsidiary Listing
010393,065683,1994,6-character CUSIP - Manual,Subsidiary Listing
066716,119773,1994,6-character CUSIP - Manual,Subsidiary Listing
008867,124015,1994,6-character CUSIP - Manual,Subsidiary Listing
113586,020351,1995,6-character CUSIP - Manual,Unknown
145984,001171,1996,6-character CUSIP - Manual,Unknown
