gvkey_primary,gvkey_secondary,year,source,type
014112,001008,1986,CRSP/Compustat,Merger or Acquisition
001036,001035,1983,Clean Name Duplicates,Relisting
015277,001057,1988,Clean Name Duplicates,Relisting
020899,001067,1982,CRSP/Compustat,Relisting
001581,001085,1970,6-character CUSIP,Subsidiary Listing
010186,001113,1988,CRSP/Compustat,Merger or Acquisition
001408,001114,1976,General Research,Merger or Acquisition
027575,001114,2012,Clean Name Duplicates,Subsidiary Spin-Off
008546,001115,2000,SDC Platinum,Merger or Acquisition
020900,001175,1989,Clean Name Duplicates,Relisting
007241,001177,2017,General Research,Merger or Acquisition
014084,001236,1986,ABS,Relisting
019565,001243,2007,General Research,Merger or Acquisition
009135,001246,2008,SDC Platinum,Merger or Acquisition
147449,001248,2000,General Research,Subsidiary Listing
016603,001248,1982,General Research,Merger or Acquisition
027980,001278,2004,General Research,Merger or Acquisition
013708,001278,1986,General Research,Relisting
015708,001284,1988,General Research,Subsidiary Spin-Off
009775,001284,1980,General Research,Merger or Acquisition
014152,001302,1987,CRSP/Compustat,Merger or Acquisition
002136,001318,2008,General Research,Merger or Acquisition
001318,001336,1983,General Research,Relisting
028192,001356,2016,CRSP/Compustat,Relisting
012578,001362,1987,General Research,Merger or Acquisition
011993,001365,1993,General Research,Merger or Acquisition
014057,001386,1987,CRSP/Compustat,Merger or Acquisition
001045,001388,1983,General Research,Subsidiary Listing
008286,001412,1988,SDC Platinum,Merger or Acquisition
001416,001415,1984,CRSP/Compustat,Relisting
001478,001430,1994,Subsidiary Data,Merger or Acquisition
001487,001465,2001,General Research,Merger or Acquisition
008530,001478,2009,General Research,Merger or Acquisition
009899,001485,1998,6-character CUSIP,Merger or Acquisition
008188,001488,1979,General Research,Merger or Acquisition
003730,001497,1991,SDC Platinum,Merger or Acquisition
001072,001577,2007,Subsidiary Data,Merger or Acquisition
009899,001581,2005,6-character CUSIP,Merger or Acquisition
179437,001587,2005,Clean Name Duplicates,Relisting
002410,001609,1998,General Research,Merger or Acquisition
025554,001614,1991,Clean Name Duplicates,Relisting
001848,001628,1977,General Research,Merger or Acquisition
011923,001629,1985,General Research,Relisting
010152,001631,1983,CRSP/Compustat,Relisting
