gvkey_primary,name_secondary,year,source,type
005134,FORDYCE LUMBER,1963,Lev and Mandelker (1972),
005134,PUGET SOUND PULP AND TIMBER,1963,Lev and Mandelker (1972),
005134,VANITY FAIR PAPER MILLS,1963,Lev and Mandelker (1972),
001365,CLIMAX MOLYBDENUM,1957,Lev and Mandelker (1972),
002892,CONSOLIDATED COPPER MINES,1959,Lev and Mandelker (1972),
002892,TITAN METAL MANUFACTURING,1959,Lev and Mandelker (1972),
002892,LEWIN-MATHES,1959,Lev and Mandelker (1972),
004189,MIDLAND ENTERPRISES,1961,Lev and Mandelker (1972),
004189,OHIO RIVER,1961,Lev and Mandelker (1972),
002102,PRICES CREAMERIES,1953,Lev and Mandelker (1972),
001394,MERITA BAKERIES,1953,Lev and Mandelker (1972),
001620,GODCHAUX SUGAR,1956,Lev and Mandelker (1972),
007724,BRIDGEPORT BRASS,1961,Lev and Mandelker (1972),
003144,MINUTE MAID,1960,Lev and Mandelker (1972),
003411,MURIEL CIGARS,1956,Lev and Mandelker (1972),
002489,JAMES LEES AND SONS,1960,Lev and Mandelker (1972),
007495,FIRTH CARPET,1962,Lev and Mandelker (1972),
003627,BARTRAM PAPER PRODUCTS,1955,Lev and Mandelker (1972),
003627,GAYLORD CONTAINER,1955,Lev and Mandelker (1972),
014593,GAYLORD CONTAINER,1987,General Research,
003627,ELK FALLS,1955,Lev and Mandelker (1972),
011446,HINDE AND DAUCH PAPER,1953,Lev and Mandelker (1972),
005644,HINDE AND DAUCH PAPER,1956,General Research,
001215,PITTSBURGH METALLURGICAL,1962,Lev and Mandelker (1972),
005250,DAVISON CHEMICAL,1954,Lev and Mandelker (1972),
005250,DEWEY AND ALMY CHEMICAL,1954,Lev and Mandelker (1972),
007536,LION OIL,1955,Lev and Mandelker (1972),
007658,MORRIS P KIRK AND SONS,1953,Lev and Mandelker (1972),
007658,DOEHLER-JARVIS,1953,Lev and Mandelker (1972),
007257,SHARPE AND DOHME,1953,Lev and Mandelker (1972),
011288,AMERICAN CHICLE,1962,Lev and Mandelker (1972),
001609,PAN AMERICAN PETROLEUM AND TRANSPORT,1954,Lev and Mandelker (1972),
010001,OLD BEN COAL,1968,General Research,
004672,DAYTON TIRE,1961,Lev and Mandelker (1972),
002436,G R KINNEY,1956,Lev and Mandelker (1972),
001414,MARATHON,1957,Lev and Mandelker (1972),
003460,HAZEL-ATLAS GLASS,1956,Lev and Mandelker (1972),
003460,ROBERT GAIR,1957,General Research,
008215,NATIONAL CONTAINER,1956,Lev and Mandelker (1972),
001755,NATIONAL SUPPLY,1957,Lev and Mandelker (1972),
003512,FLEXO WIRE,1951,General Research,
003512,OHIO SEAMLESS TUBING,1957,Lev and Mandelker (1972),
002789,AFFILIATED GAS EQUIPMENT,1955,Lev and Mandelker (1972),
002789,BRYANT HEATER,1955,Lev and Mandelker (1972),
002789,DAY AND NIGHT WATER HEATER,1955,Lev and Mandelker (1972),
002789,PAYNE FURNACE AND SUPPLY,1955,Lev and Mandelker (1972),
004327,SAVAGE ARMS,1963,Lev and Mandelker (1972),
005492,INTERTYPE,1957,Lev and Mandelker (1972),
007648,COMPUTER RESEARCH,1953,General Research,
003334,COMPUTER RESEARCH,1973,General Research,
009316,MARCHANT CALCULATING MACHINE,1958,Lev and Mandelker (1972),
009316,BRITISH TYPEWRITERS,1958,Lev and Mandelker (1972),
009036,MASTER ELECTRIC,1957,Lev and Mandelker (1972),
009036,TOLEDO SCALE,1967,General Research,
009036,DODGE MANUFACTURING,1967,General Research,
010519,HOMELITE,1955,Lev and Mandelker (1972),
007585,LEARCAL,1959,Lev and Mandelker (1972),
007585,DAHLBERG,1959,Lev and Mandelker (1972),
003712,DAHLBERG,1984,Lev and Mandelker (1972),
001517,HUDSON MOTOR CAR,1954,Lev and Mandelker (1972),
007967,STERLING TRUCKS,1951,General Research,
007967,AUTOCAR,1953,Lev and Mandelker (1972),
